Library,month,visits
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-01,586
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-02,718
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-03,596
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-04,421
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-05,423
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-06,499
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-07,533
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-08,536
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-09,668
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-10,711
http://datadock.io/kal/data/id/resource/library/Denton Burn,2016-11,634
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-04,425
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-05,377
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-06,377
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-07,377
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-08,524
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-09,524
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-10,524
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-11,407
http://datadock.io/kal/data/id/resource/library/Dinnington,2008-12,407
http://datadock.io/kal/data/id/resource/library/Dinnington,2009-01,407
http://datadock.io/kal/data/id/resource/library/Dinnington,2009-02,429
http://datadock.io/kal/data/id/resource/library/Dinnington,2009-03,429
